#
# Transition date estimate for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2021
# Final Processing Date: 2021-07-19
# Final Processing Time: 02:02:33
# Spline RMSE gcc_mean: 0.00234
# Spline RMSE gcc_50: 0.00246
# Spline RMSE gcc_75: 0.00242
# Spline RMSE gcc_90: 0.00254
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ahwahnee,GR,3000,rising,gcc_90,2016-02-24,2016-03-05,2016-03-17,2016-02-19,2016-03-03,2016-03-14,2016-02-29,2016-03-07,2016-03-18,0.33685,0.34603,0.36252,0.33086,0.3919
ahwahnee,GR,3000,rising,gcc_90,2017-03-05,2017-03-11,2017-03-19,2017-02-20,2017-03-10,2017-03-18,2017-03-06,2017-03-13,2017-03-20,0.34562,0.35538,0.3725,0.33932,0.40525
ahwahnee,GR,3000,rising,gcc_90,2018-03-31,2018-04-07,2018-04-17,2018-03-29,2018-04-06,2018-04-14,2018-04-02,2018-04-09,2018-04-18,0.33757,0.34815,0.3672,0.33132,0.40002
ahwahnee,GR,3000,rising,gcc_90,2019-03-27,2019-04-03,2019-04-16,2019-03-24,2019-04-02,2019-04-13,2019-03-30,2019-04-06,2019-04-18,0.33638,0.34497,0.36336,0.33002,0.39559
ahwahnee,GR,3000,rising,gcc_90,2020-03-22,2020-04-04,2020-04-20,2020-03-18,2020-04-01,2020-04-17,2020-03-26,2020-04-08,2020-04-22,0.33605,0.34508,0.36118,0.33047,0.39067
ahwahnee,GR,3000,rising,gcc_90,2021-03-18,2021-03-30,2021-04-11,2021-03-10,2021-03-28,2021-04-08,2021-03-23,2021-04-01,2021-04-12,0.33846,0.34683,0.36277,0.33296,0.38953
ahwahnee,GR,3000,rising,gcc_75,2016-02-20,2016-03-04,2016-03-17,2016-02-14,2016-03-02,2016-03-14,2016-02-26,2016-03-07,2016-03-18,0.33449,0.3431,0.35992,0.32864,0.38942
ahwahnee,GR,3000,rising,gcc_75,2017-03-05,2017-03-11,2017-03-20,2017-02-19,2017-03-10,2017-03-18,2017-03-06,2017-03-13,2017-03-21,0.34356,0.35283,0.37189,0.33784,0.40195
ahwahnee,GR,3000,rising,gcc_75,2018-03-31,2018-04-06,2018-04-16,2018-03-29,2018-04-05,2018-04-14,2018-04-02,2018-04-08,2018-04-18,0.3357,0.34441,0.36255,0.32949,0.39512
ahwahnee,GR,3000,rising,gcc_75,2019-03-26,2019-04-03,2019-04-16,2019-03-24,2019-04-02,2019-04-13,2019-03-29,2019-04-05,2019-04-18,0.33401,0.34344,0.36157,0.32824,0.39307
ahwahnee,GR,3000,rising,gcc_75,2020-03-24,2020-04-04,2020-04-19,2020-03-21,2020-04-02,2020-04-17,2020-03-27,2020-04-08,2020-04-21,0.33514,0.34358,0.35897,0.32964,0.38807
ahwahnee,GR,3000,rising,gcc_75,2021-03-17,2021-03-30,2021-04-11,2021-03-08,2021-03-28,2021-04-09,2021-03-22,2021-04-01,2021-04-12,0.33641,0.34483,0.35984,0.3311,0.3872
ahwahnee,GR,3000,rising,gcc_50,2016-02-21,2016-03-05,2016-03-17,2016-02-15,2016-03-03,2016-03-15,2016-02-27,2016-03-08,2016-03-19,0.33254,0.34176,0.35755,0.32691,0.38677
ahwahnee,GR,3000,rising,gcc_50,2017-03-06,2017-03-11,2017-03-20,2017-02-28,2017-03-10,2017-03-18,2017-03-07,2017-03-13,2017-03-21,0.34132,0.34995,0.3682,0.33536,0.39882
ahwahnee,GR,3000,rising,gcc_50,2018-03-30,2018-04-06,2018-04-16,2018-03-29,2018-04-05,2018-04-14,2018-04-02,2018-04-08,2018-04-18,0.33239,0.34231,0.35925,0.327,0.39102
ahwahnee,GR,3000,rising,gcc_50,2019-03-28,2019-04-04,2019-04-16,2019-03-25,2019-04-03,2019-04-14,2019-03-31,2019-04-06,2019-04-18,0.33279,0.3417,0.35826,0.32664,0.38955
ahwahnee,GR,3000,rising,gcc_50,2020-03-25,2020-04-07,2020-04-18,2020-03-20,2020-04-04,2020-04-16,2020-03-30,2020-04-10,2020-04-20,0.33276,0.34119,0.35547,0.32736,0.38297
ahwahnee,GR,3000,rising,gcc_50,2021-03-18,2021-03-29,2021-04-11,2021-03-10,2021-03-27,2021-04-09,2021-03-22,2021-04-01,2021-04-13,0.33399,0.34157,0.35644,0.32869,0.3828
ahwahnee,GR,3000,rising,gcc_mean,2016-02-22,2016-03-04,2016-03-18,2016-02-16,2016-03-02,2016-03-15,2016-02-27,2016-03-08,2016-03-20,0.33269,0.34054,0.35684,0.32706,0.38493
ahwahnee,GR,3000,rising,gcc_mean,2017-03-06,2017-03-11,2017-03-20,2017-03-01,2017-03-10,2017-03-18,2017-03-07,2017-03-13,2017-03-21,0.34031,0.34891,0.3663,0.33457,0.3947
ahwahnee,GR,3000,rising,gcc_mean,2018-03-30,2018-04-06,2018-04-17,2018-03-29,2018-04-05,2018-04-15,2018-04-02,2018-04-08,2018-04-18,0.33207,0.34177,0.35903,0.32671,0.38952
ahwahnee,GR,3000,rising,gcc_mean,2019-03-28,2019-04-04,2019-04-16,2019-03-26,2019-04-02,2019-04-13,2019-03-31,2019-04-06,2019-04-18,0.33223,0.34172,0.35785,0.32649,0.38754
ahwahnee,GR,3000,rising,gcc_mean,2020-03-23,2020-04-05,2020-04-19,2020-03-18,2020-04-03,2020-04-16,2020-03-28,2020-04-09,2020-04-21,0.3319,0.33944,0.35441,0.32664,0.38036
ahwahnee,GR,3000,rising,gcc_mean,2021-03-19,2021-03-30,2021-04-11,2021-03-14,2021-03-28,2021-04-08,2021-03-23,2021-04-01,2021-04-12,0.33346,0.3414,0.35557,0.32861,0.38017
ahwahnee,GR,3000,falling,gcc_90,2020-09-08,2020-08-30,2020-08-04,2020-09-10,2020-09-01,2020-08-09,2020-09-04,2020-08-26,2020-08-02,0.33766,0.34701,0.36285,0.33254,0.39178
