#
# 3-day summary product time series for bartlett
#
# Site: bartlett
# Veg Type: DB
# ROI ID Number: 0003
# Lat: 44.0646
# Lon: -71.2881
# Elev: 268
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 09:54:49
# Update Date: 2017-04-18
# Update Time: 05:17:00
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:17:27
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2006-12-04,2006,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34315,0.34335,0.345,0.34569,0.38475,0.38591,0.39495,0.39891,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-07,2006,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3431,0.34341,0.34481,0.3455,0.38392,0.38426,0.39314,0.3969,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-10,2006,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34303,0.3434,0.34462,0.3453,0.38293,0.38279,0.39148,0.39498,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-13,2006,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34294,0.34334,0.34447,0.34512,0.38181,0.3815,0.38997,0.39317,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-16,2006,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34289,0.34327,0.34436,0.34499,0.38064,0.38041,0.38874,0.39171,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-19,2006,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34294,0.34323,0.34433,0.34496,0.37906,0.37951,0.38755,0.39092,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-22,2006,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34303,0.34322,0.34435,0.345,0.37752,0.37882,0.38656,0.39052,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-25,2006,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34324,0.34335,0.34453,0.34518,0.37703,0.37832,0.38693,0.39112,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-28,2006,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34342,0.34349,0.34472,0.34534,0.37711,0.37799,0.38779,0.39193,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-31,2006,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34329,0.34335,0.34467,0.34523,0.37727,0.3779,0.38786,0.39153,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
