#
# Transition date estimate for bartlett
#
# Site: bartlett
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2007
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:17:27
# Spline RMSE gcc_mean: 0.00178
# Spline RMSE gcc_50: 0.00177
# Spline RMSE gcc_75: 0.00213
# Spline RMSE gcc_90: 0.00254
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlett,DB,0003,rising,gcc_90,2007-05-05,2007-05-08,2007-05-13,2007-05-04,2007-05-07,2007-05-11,2007-05-07,2007-05-09,2007-05-14,0.34739,0.36082,0.38324,0.34232,0.4184
bartlett,DB,0003,rising,gcc_90,2008-05-06,2008-05-09,2008-05-15,2008-05-05,2008-05-08,2008-05-13,2008-05-08,2008-05-11,2008-05-16,0.3517,0.36025,0.37944,0.34594,0.41219
bartlett,DB,0003,rising,gcc_90,2009-05-02,2009-05-06,2009-05-14,2009-05-01,2009-05-04,2009-05-12,2009-05-04,2009-05-08,2009-05-15,0.3536,0.3653,0.38478,0.34794,0.41842
bartlett,DB,0003,rising,gcc_90,2010-04-27,2010-04-29,2010-05-03,2010-04-26,2010-04-28,2010-05-01,2010-04-28,2010-04-30,2010-05-04,0.35252,0.36299,0.3838,0.34544,0.41836
bartlett,DB,0003,rising,gcc_90,2011-05-05,2011-05-08,2011-05-13,2011-05-04,2011-05-07,2011-05-11,2011-05-07,2011-05-10,2011-05-14,0.3502,0.3603,0.38663,0.34544,0.41755
bartlett,DB,0003,rising,gcc_90,2012-04-28,2012-05-03,2012-05-09,2012-04-26,2012-05-02,2012-05-07,2012-04-30,2012-05-05,2012-05-10,0.35181,0.3631,0.38267,0.34554,0.41817
bartlett,DB,0003,rising,gcc_90,2013-05-02,2013-05-04,2013-05-08,2013-05-01,2013-05-03,2013-05-07,2013-05-04,2013-05-06,2013-05-09,0.34982,0.35876,0.38262,0.34461,0.41994
bartlett,DB,0003,rising,gcc_90,2014-05-10,2014-05-13,2014-05-17,2014-05-09,2014-05-12,2014-05-16,2014-05-12,2014-05-14,2014-05-18,0.35212,0.36402,0.38607,0.34784,0.4206
bartlett,DB,0003,rising,gcc_90,2015-05-05,2015-05-07,2015-05-12,2015-05-04,2015-05-06,2015-05-10,2015-05-06,2015-05-09,2015-05-13,0.35054,0.35916,0.38397,0.34399,0.41566
bartlett,DB,0003,rising,gcc_75,2007-05-05,2007-05-08,2007-05-13,2007-05-04,2007-05-07,2007-05-11,2007-05-07,2007-05-09,2007-05-14,0.34751,0.35991,0.38025,0.34174,0.41514
bartlett,DB,0003,rising,gcc_75,2008-05-06,2008-05-09,2008-05-15,2008-05-05,2008-05-08,2008-05-13,2008-05-08,2008-05-11,2008-05-16,0.35089,0.35938,0.37856,0.34528,0.41099
bartlett,DB,0003,rising,gcc_75,2009-05-02,2009-05-06,2009-05-14,2009-05-01,2009-05-05,2009-05-12,2009-05-04,2009-05-08,2009-05-15,0.35214,0.36302,0.38328,0.3471,0.41679
bartlett,DB,0003,rising,gcc_75,2010-04-27,2010-04-29,2010-05-03,2010-04-26,2010-04-28,2010-05-02,2010-04-28,2010-04-30,2010-05-04,0.35189,0.36205,0.3823,0.34484,0.417
bartlett,DB,0003,rising,gcc_75,2011-05-05,2011-05-08,2011-05-13,2011-05-04,2011-05-07,2011-05-11,2011-05-07,2011-05-10,2011-05-14,0.34934,0.35892,0.3836,0.34481,0.41532
bartlett,DB,0003,rising,gcc_75,2012-04-28,2012-05-03,2012-05-09,2012-04-27,2012-05-02,2012-05-07,2012-04-30,2012-05-05,2012-05-10,0.35114,0.36237,0.38186,0.34501,0.41647
bartlett,DB,0003,rising,gcc_75,2013-05-02,2013-05-05,2013-05-09,2013-05-01,2013-05-04,2013-05-07,2013-05-04,2013-05-06,2013-05-10,0.34928,0.36254,0.38465,0.34439,0.41826
bartlett,DB,0003,rising,gcc_75,2014-05-11,2014-05-13,2014-05-17,2014-05-10,2014-05-12,2014-05-16,2014-05-12,2014-05-14,2014-05-18,0.35326,0.36158,0.38315,0.34614,0.41796
bartlett,DB,0003,rising,gcc_75,2015-05-05,2015-05-07,2015-05-11,2015-05-04,2015-05-06,2015-05-10,2015-05-06,2015-05-08,2015-05-12,0.34957,0.35803,0.37822,0.343,0.41308
bartlett,DB,0003,rising,gcc_50,2007-05-06,2007-05-08,2007-05-14,2007-05-05,2007-05-07,2007-05-13,2007-05-07,2007-05-10,2007-05-15,0.34694,0.35524,0.37919,0.34139,0.41378
bartlett,DB,0003,rising,gcc_50,2008-05-07,2008-05-10,2008-05-16,2008-05-06,2008-05-09,2008-05-14,2008-05-09,2008-05-11,2008-05-17,0.35123,0.36065,0.37909,0.34643,0.40862
bartlett,DB,0003,rising,gcc_50,2009-05-02,2009-05-06,2009-05-13,2009-05-01,2009-05-05,2009-05-12,2009-05-04,2009-05-08,2009-05-14,0.35019,0.35981,0.3782,0.34354,0.41241
bartlett,DB,0003,rising,gcc_50,2010-04-27,2010-04-29,2010-05-04,2010-04-26,2010-04-28,2010-05-03,2010-04-29,2010-05-01,2010-05-05,0.34895,0.35738,0.38035,0.34398,0.41501
bartlett,DB,0003,rising,gcc_50,2011-05-06,2011-05-09,2011-05-15,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-16,0.34991,0.35816,0.37985,0.34382,0.41028
bartlett,DB,0003,rising,gcc_50,2012-04-28,2012-05-04,2012-05-10,2012-04-27,2012-05-03,2012-05-09,2012-04-30,2012-05-05,2012-05-11,0.35022,0.36146,0.38061,0.34404,0.4148
bartlett,DB,0003,rising,gcc_50,2013-05-02,2013-05-05,2013-05-09,2013-05-01,2013-05-04,2013-05-08,2013-05-04,2013-05-06,2013-05-10,0.34703,0.35908,0.3798,0.34292,0.41383
bartlett,DB,0003,rising,gcc_50,2014-05-11,2014-05-13,2014-05-18,2014-05-10,2014-05-12,2014-05-16,2014-05-12,2014-05-15,2014-05-19,0.3501,0.3577,0.38282,0.34406,0.41522
bartlett,DB,0003,rising,gcc_50,2015-05-05,2015-05-07,2015-05-12,2015-05-04,2015-05-06,2015-05-10,2015-05-06,2015-05-08,2015-05-13,0.34746,0.35549,0.37913,0.3415,0.40873
