#
# 3-day summary product time series for acadia
#
# Site: acadia
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 44.3769444444
# Lon: -68.2608333333
# Elev: 158
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 09:50:53
# Update Date: 2017-04-18
# Update Time: 05:15:09
# Final Processing Date: 2017-07-17
# Final Processing Time: 11:43:05
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2006-12-16,2006,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3299,0.32996,0.33144,0.33294,0.35523,0.35751,0.36793,0.3783,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-19,2006,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32941,0.32938,0.33117,0.3326,0.3543,0.35577,0.36661,0.37682,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-22,2006,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32893,0.32884,0.33081,0.33223,0.35342,0.35415,0.36538,0.37552,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-25,2006,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32849,0.32837,0.33039,0.33187,0.35256,0.35263,0.36422,0.37436,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-28,2006,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32815,0.32801,0.33002,0.33161,0.35171,0.3512,0.36311,0.37331,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-12-31,2006,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32791,0.32778,0.32974,0.33155,0.35089,0.34989,0.36208,0.37238,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-01-02,2007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32787,0.32773,0.32968,0.33163,0.35035,0.34908,0.36144,0.37184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-01-05,2007,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32824,0.32795,0.3302,0.33229,0.34957,0.34795,0.36053,0.3711,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-01-08,2007,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32867,0.32827,0.3308,0.33294,0.34882,0.3469,0.35967,0.37041,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2007-01-11,2007,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32897,0.32862,0.33116,0.33297,0.34805,0.34589,0.35881,0.36988,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
