#
# Transition date estimate for acadia
#
# Site: acadia
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2007
# Year max: 2015
# Final Processing Date: 2017-07-17
# Final Processing Time: 11:43:05
# Spline RMSE gcc_mean: 0.01273
# Spline RMSE gcc_50: 0.01618
# Spline RMSE gcc_75: 0.01402
# Spline RMSE gcc_90: 0.01103
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
acadia,DB,0001,rising,gcc_90,2007-05-08,2007-05-17,2007-05-23,2007-05-05,2007-05-14,2007-05-20,2007-05-14,2007-05-20,2007-05-26,0.34241,0.35661,0.38446,0.33501,0.43186
acadia,DB,0001,rising,gcc_90,2008-05-10,2008-05-13,2008-05-19,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.3405,0.35102,0.38632,0.33582,0.43568
acadia,DB,0001,rising,gcc_90,2009-05-02,2009-05-08,2009-05-17,2009-04-29,2009-05-05,2009-05-14,2009-05-08,2009-05-14,2009-05-20,0.34047,0.3524,0.38456,0.33549,0.42863
acadia,DB,0001,rising,gcc_90,2010-04-26,2010-04-29,2010-05-05,2010-04-23,2010-04-26,2010-05-02,2010-04-29,2010-05-02,2010-05-08,0.34406,0.35643,0.39058,0.33648,0.43556
acadia,DB,0001,rising,gcc_90,2011-05-05,2011-05-17,2011-05-26,2011-05-02,2011-05-14,2011-05-23,2011-05-08,2011-05-23,2011-05-29,0.34014,0.35297,0.39254,0.32914,0.4402
acadia,DB,0001,rising,gcc_90,2012-05-04,2012-05-10,2012-05-16,2012-05-01,2012-05-07,2012-05-13,2012-05-10,2012-05-13,2012-05-19,0.34171,0.36309,0.40478,0.33259,0.45602
acadia,DB,0001,rising,gcc_90,2013-05-05,2013-05-11,2013-05-20,2013-04-26,2013-05-08,2013-05-17,2013-05-08,2013-05-14,2013-05-23,0.34449,0.36392,0.39663,0.33352,0.45538
acadia,DB,0001,rising,gcc_90,2014-05-02,2014-05-17,2014-05-26,2014-04-11,2014-05-14,2014-05-23,2014-05-14,2014-05-20,2014-05-29,0.34299,0.35782,0.39419,0.33226,0.44635
acadia,DB,0001,rising,gcc_90,2015-05-02,2015-05-11,2015-05-23,2015-04-11,2015-05-08,2015-05-17,2015-05-08,2015-05-17,2015-05-26,0.34098,0.35365,0.39487,0.33174,0.43068
acadia,DB,0001,rising,gcc_75,2007-05-08,2007-05-17,2007-05-23,2007-05-02,2007-05-14,2007-05-20,2007-05-14,2007-05-20,2007-05-26,0.34104,0.35227,0.38201,0.33322,0.42214
acadia,DB,0001,rising,gcc_75,2008-05-10,2008-05-13,2008-05-22,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.34003,0.34973,0.39805,0.33468,0.4295
acadia,DB,0001,rising,gcc_75,2009-05-02,2009-05-08,2009-05-20,2009-04-29,2009-05-05,2009-05-14,2009-05-08,2009-05-14,2009-05-23,0.33918,0.35071,0.39697,0.33396,0.42877
acadia,DB,0001,rising,gcc_75,2010-04-26,2010-04-29,2010-05-05,2010-04-23,2010-04-26,2010-05-02,2010-04-29,2010-05-02,2010-05-08,0.34136,0.35245,0.38533,0.33535,0.43071
acadia,DB,0001,rising,gcc_75,2011-05-02,2011-05-17,2011-05-26,2011-04-29,2011-05-14,2011-05-23,2011-05-08,2011-05-23,2011-05-29,0.33352,0.3502,0.38644,0.32756,0.43564
acadia,DB,0001,rising,gcc_75,2012-05-07,2012-05-10,2012-05-16,2012-04-07,2012-05-07,2012-05-13,2012-05-10,2012-05-13,2012-05-19,0.34162,0.35692,0.39954,0.32983,0.45038
acadia,DB,0001,rising,gcc_75,2013-05-05,2013-05-08,2013-05-20,2013-04-20,2013-05-05,2013-05-17,2013-05-08,2013-05-14,2013-05-23,0.34279,0.35142,0.39192,0.33208,0.44964
acadia,DB,0001,rising,gcc_75,2014-05-02,2014-05-17,2014-05-26,2014-04-08,2014-05-14,2014-05-23,2014-05-17,2014-05-23,2014-05-29,0.34147,0.3538,0.38906,0.3308,0.44007
acadia,DB,0001,rising,gcc_75,2015-05-02,2015-05-11,2015-05-23,2015-04-11,2015-05-08,2015-05-17,2015-05-08,2015-05-17,2015-05-26,0.33957,0.35191,0.39193,0.33015,0.42811
acadia,DB,0001,rising,gcc_50,2007-05-08,2007-05-17,2007-05-23,2007-04-29,2007-05-11,2007-05-20,2007-05-20,2007-05-20,2007-05-26,0.33856,0.34546,0.36868,0.33228,0.39974
acadia,DB,0001,rising,gcc_50,2008-05-10,2008-05-13,2008-05-22,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.33801,0.34568,0.38277,0.3323,0.41945
acadia,DB,0001,rising,gcc_50,2009-05-02,2009-05-08,2009-05-17,2009-04-08,2009-05-05,2009-05-14,2009-05-11,2009-05-14,2009-05-20,0.3364,0.34712,0.3747,0.33222,0.41563
acadia,DB,0001,rising,gcc_50,2010-04-26,2010-04-29,2010-05-05,2010-04-02,2010-04-26,2010-05-02,2010-05-02,2010-05-02,2010-05-08,0.3396,0.34921,0.37783,0.33378,0.4199
acadia,DB,0001,rising,gcc_50,2011-05-05,2011-05-20,2011-05-29,2011-04-29,2011-05-17,2011-05-23,2011-05-17,2011-05-23,2011-06-01,0.33595,0.34626,0.3991,0.3253,0.43422
acadia,DB,0001,rising,gcc_50,2012-05-04,2012-05-10,2012-05-16,2012-03-17,2012-05-07,2012-05-13,2012-05-10,2012-05-13,2012-05-19,0.33439,0.35385,0.39744,0.32528,0.44622
acadia,DB,0001,rising,gcc_50,2013-05-05,2013-05-23,2013-05-29,2013-04-20,2013-05-08,2013-05-26,2013-05-11,2013-05-29,2013-06-01,0.3382,0.36033,0.39746,0.33066,0.45999
acadia,DB,0001,rising,gcc_50,2014-05-05,2014-05-17,2014-05-29,2014-04-08,2014-05-14,2014-05-23,2014-05-17,2014-05-23,2014-06-01,0.33969,0.35,0.40004,0.32907,0.4404
acadia,DB,0001,rising,gcc_50,2015-05-02,2015-05-11,2015-05-23,2015-04-11,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.33727,0.34919,0.38595,0.3301,0.42109
acadia,DB,0001,rising,gcc_mean,2007-05-08,2007-05-17,2007-05-23,2007-04-29,2007-05-14,2007-05-20,2007-05-20,2007-05-20,2007-05-26,0.33858,0.34618,0.36927,0.33258,0.40247
acadia,DB,0001,rising,gcc_mean,2008-05-10,2008-05-13,2008-05-22,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.33842,0.34637,0.38147,0.33232,0.41377
acadia,DB,0001,rising,gcc_mean,2009-05-05,2009-05-11,2009-05-20,2009-04-08,2009-05-08,2009-05-14,2009-05-11,2009-05-14,2009-05-23,0.33977,0.35222,0.3878,0.33248,0.41461
acadia,DB,0001,rising,gcc_mean,2010-04-26,2010-04-29,2010-05-05,2010-03-27,2010-04-26,2010-05-02,2010-04-29,2010-05-02,2010-05-08,0.33991,0.3493,0.37675,0.33374,0.41327
acadia,DB,0001,rising,gcc_mean,2011-05-05,2011-05-20,2011-05-29,2011-04-29,2011-05-17,2011-05-23,2011-05-14,2011-05-26,2011-06-01,0.33557,0.3448,0.39387,0.32549,0.42984
acadia,DB,0001,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-16,2012-03-17,2012-05-04,2012-05-13,2012-05-10,2012-05-13,2012-05-19,0.33495,0.33993,0.39392,0.3258,0.44324
acadia,DB,0001,rising,gcc_mean,2013-05-05,2013-05-11,2013-05-29,2013-05-02,2013-05-08,2013-05-26,2013-05-11,2013-05-26,2013-06-01,0.33782,0.35902,0.39462,0.331,0.45796
acadia,DB,0001,rising,gcc_mean,2014-05-05,2014-05-17,2014-05-29,2014-04-08,2014-05-14,2014-05-23,2014-05-17,2014-05-23,2014-06-01,0.33883,0.34955,0.39565,0.32903,0.43592
acadia,DB,0001,rising,gcc_mean,2015-05-02,2015-05-11,2015-05-23,2015-04-08,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.33692,0.34713,0.3821,0.32976,0.40994
acadia,DB,0001,falling,gcc_90,2015-10-23,2015-10-20,2015-10-08,2015-10-26,2015-10-23,2015-10-11,2015-10-20,2015-10-14,2015-09-23,0.34564,0.35663,0.38373,0.34051,0.42633
acadia,DB,0001,falling,gcc_90,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-11,2014-10-17,2014-10-14,2014-10-05,0.34066,0.35451,0.38854,0.33533,0.43686
acadia,DB,0001,falling,gcc_90,2013-10-14,2013-10-08,2013-09-29,2013-10-17,2013-10-14,2013-10-08,2013-10-05,2013-10-02,2013-09-20,0.3389,0.36198,0.39546,0.33748,0.44763
acadia,DB,0001,falling,gcc_90,2012-09-28,2012-09-25,2012-09-13,2012-10-01,2012-09-28,2012-09-19,2012-09-22,2012-09-19,2012-09-10,0.36398,0.37388,0.40855,0.36275,0.44813
acadia,DB,0001,falling,gcc_90,2011-10-14,2011-10-11,2011-09-02,2011-10-17,2011-10-14,2011-09-08,2011-10-11,2011-10-08,2011-08-30,0.34644,0.35489,0.3891,0.33677,0.43574
acadia,DB,0001,falling,gcc_90,2010-10-20,2010-10-17,2010-10-08,2010-10-23,2010-10-20,2010-10-11,2010-10-14,2010-10-11,2010-10-05,0.33416,0.34306,0.38491,0.33416,0.42099
acadia,DB,0001,falling,gcc_90,2009-10-23,2009-10-20,2009-09-26,2009-10-26,2009-10-23,2009-10-08,2009-10-20,2009-10-14,2009-09-23,0.3516,0.36025,0.38761,0.34608,0.42393
acadia,DB,0001,falling,gcc_90,2008-10-16,2008-10-13,2008-09-19,2008-10-19,2008-10-16,2008-09-25,2008-10-10,2008-10-07,2008-09-07,0.33968,0.35324,0.38841,0.33968,0.43349
acadia,DB,0001,falling,gcc_90,2007-10-23,2007-10-20,2007-10-05,2007-10-26,2007-10-23,2007-10-08,2007-10-20,2007-10-14,2007-10-02,0.34159,0.35261,0.38333,0.33861,0.42735
acadia,DB,0001,falling,gcc_75,2015-10-23,2015-10-20,2015-10-08,2015-10-26,2015-10-23,2015-10-14,2015-10-20,2015-10-14,2015-09-26,0.34379,0.35615,0.38344,0.33773,0.4222
acadia,DB,0001,falling,gcc_75,2014-10-20,2014-10-17,2014-10-08,2014-10-23,2014-10-20,2014-10-14,2014-10-17,2014-10-14,2014-10-05,0.3389,0.35302,0.387,0.33358,0.4301
acadia,DB,0001,falling,gcc_75,2013-10-11,2013-10-08,2013-09-29,2013-10-17,2013-10-14,2013-10-08,2013-10-05,2013-10-02,2013-09-14,0.34618,0.36023,0.39395,0.33551,0.44831
acadia,DB,0001,falling,gcc_75,2012-09-25,2012-09-22,2012-08-29,2012-09-28,2012-09-25,2012-09-04,2012-09-19,2012-09-16,2012-08-26,0.35833,0.36663,0.41574,0.35693,0.44745
acadia,DB,0001,falling,gcc_75,2011-10-14,2011-10-11,2011-09-08,2011-10-17,2011-10-14,2011-09-20,2011-10-11,2011-10-05,2011-08-30,0.34355,0.3534,0.38488,0.33463,0.43434
acadia,DB,0001,falling,gcc_75,2010-10-20,2010-10-17,2010-10-08,2010-10-23,2010-10-20,2010-10-14,2010-10-14,2010-10-11,2010-10-05,0.32954,0.33845,0.38239,0.32954,0.41255
acadia,DB,0001,falling,gcc_75,2009-10-23,2009-10-20,2009-09-26,2009-10-26,2009-10-23,2009-10-05,2009-10-17,2009-10-02,2009-09-23,0.34677,0.35588,0.38221,0.34677,0.40925
acadia,DB,0001,falling,gcc_75,2008-10-10,2008-09-28,2008-09-07,2008-10-13,2008-10-01,2008-09-16,2008-09-25,2008-09-19,2008-09-04,0.35968,0.37093,0.39164,0.35968,0.41912
acadia,DB,0001,falling,gcc_75,2007-10-23,2007-10-20,2007-10-08,2007-10-26,2007-10-23,2007-10-14,2007-10-17,2007-10-14,2007-10-05,0.33836,0.34929,0.37626,0.33748,0.40943
acadia,DB,0001,falling,gcc_50,2015-10-23,2015-10-17,2015-10-08,2015-10-26,2015-10-23,2015-10-14,2015-10-17,2015-10-11,2015-09-23,0.34287,0.35794,0.38008,0.34287,0.41442
