#
# 3-day summary product time series for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 44.0646
# Lon: -71.2881
# Elev: 268
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 09:54:58
# Update Date: 2017-04-18
# Update Time: 05:17:03
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:19:13
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-01-20,2008,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35859,0.35887,0.36263,0.3646,0.33249,0.33282,0.3409,0.34806,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-23,2008,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35922,0.35978,0.36304,0.36474,0.33301,0.33367,0.3415,0.34833,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-26,2008,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35963,0.36036,0.36337,0.36486,0.33339,0.33439,0.34192,0.34845,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-01-29,2008,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3599,0.36071,0.36365,0.36498,0.33377,0.33502,0.34214,0.34843,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-01,2008,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36,0.36079,0.36393,0.36516,0.33425,0.3356,0.34216,0.34823,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-04,2008,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36003,0.36074,0.36414,0.36535,0.33472,0.33599,0.34199,0.34788,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-07,2008,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36004,0.36066,0.36422,0.36553,0.33542,0.33601,0.34166,0.3474,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-10,2008,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36006,0.36061,0.36426,0.3657,0.33571,0.3357,0.34122,0.34682,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-13,2008,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36023,0.3608,0.36433,0.3659,0.33439,0.33476,0.34051,0.34601,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-16,2008,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36036,0.36098,0.36437,0.36602,0.33258,0.33346,0.33949,0.34494,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-19,2008,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3603,0.36093,0.36431,0.36593,0.33074,0.33186,0.33841,0.34383,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-02-22,2008,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36016,0.36081,0.36421,0.36576,0.32911,0.33034,0.33752,0.34287,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
