#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:19:13
# Spline RMSE gcc_mean: 0.00349
# Spline RMSE gcc_50: 0.00368
# Spline RMSE gcc_75: 0.00321
# Spline RMSE gcc_90: 0.00311
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,0001,rising,gcc_90,2008-05-03,2008-05-07,2008-05-13,2008-05-02,2008-05-06,2008-05-11,2008-05-05,2008-05-08,2008-05-14,0.37512,0.39186,0.42156,0.36773,0.4663
bartlettir,DB,0001,rising,gcc_90,2009-04-29,2009-05-04,2009-05-10,2009-04-25,2009-05-03,2009-05-09,2009-05-02,2009-05-06,2009-05-11,0.37382,0.38679,0.41404,0.36445,0.46236
bartlettir,DB,0001,rising,gcc_90,2010-04-24,2010-04-28,2010-05-03,2010-04-23,2010-04-27,2010-05-01,2010-04-26,2010-04-29,2010-05-04,0.37377,0.39156,0.42417,0.3662,0.46848
bartlettir,DB,0001,rising,gcc_90,2011-05-05,2011-05-09,2011-05-14,2011-05-04,2011-05-08,2011-05-13,2011-05-07,2011-05-11,2011-05-15,0.37388,0.38833,0.41691,0.36488,0.46686
bartlettir,DB,0001,rising,gcc_90,2012-04-21,2012-05-03,2012-05-09,2012-04-14,2012-05-02,2012-05-08,2012-04-30,2012-05-05,2012-05-10,0.37366,0.38733,0.41533,0.36352,0.46581
bartlettir,DB,0001,rising,gcc_90,2013-04-30,2013-05-03,2013-05-08,2013-04-28,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.37383,0.38541,0.41795,0.36388,0.46959
bartlettir,DB,0001,rising,gcc_90,2014-05-08,2014-05-12,2014-05-16,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.3759,0.39346,0.42271,0.36701,0.47408
bartlettir,DB,0001,rising,gcc_90,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-12,0.37697,0.39351,0.42678,0.37035,0.47375
bartlettir,DB,0001,rising,gcc_75,2008-05-04,2008-05-07,2008-05-13,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-14,0.37357,0.38722,0.41788,0.3658,0.46463
bartlettir,DB,0001,rising,gcc_75,2009-04-29,2009-05-04,2009-05-11,2009-04-27,2009-05-03,2009-05-09,2009-05-02,2009-05-06,2009-05-12,0.37115,0.38443,0.41542,0.36276,0.46102
bartlettir,DB,0001,rising,gcc_75,2010-04-25,2010-04-28,2010-05-03,2010-04-24,2010-04-27,2010-05-01,2010-04-27,2010-04-30,2010-05-04,0.37418,0.38721,0.42002,0.36464,0.46618
bartlettir,DB,0001,rising,gcc_75,2011-05-06,2011-05-09,2011-05-15,2011-05-04,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-16,0.37226,0.3837,0.41789,0.36262,0.46371
bartlettir,DB,0001,rising,gcc_75,2012-04-27,2012-05-03,2012-05-10,2012-04-14,2012-05-02,2012-05-08,2012-04-30,2012-05-05,2012-05-11,0.37161,0.38397,0.41615,0.36169,0.4639
bartlettir,DB,0001,rising,gcc_75,2013-04-30,2013-05-04,2013-05-09,2013-04-28,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.37122,0.38773,0.41858,0.36234,0.46514
bartlettir,DB,0001,rising,gcc_75,2014-05-08,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37339,0.38967,0.42407,0.36546,0.4712
bartlettir,DB,0001,rising,gcc_75,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.37532,0.39071,0.42253,0.36856,0.4704
bartlettir,DB,0001,rising,gcc_50,2008-05-05,2008-05-07,2008-05-13,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-14,0.37164,0.38184,0.41331,0.36229,0.46069
bartlettir,DB,0001,rising,gcc_50,2009-04-29,2009-05-05,2009-05-11,2009-04-25,2009-05-04,2009-05-10,2009-05-03,2009-05-07,2009-05-12,0.368,0.38307,0.40875,0.35944,0.45749
bartlettir,DB,0001,rising,gcc_50,2010-04-24,2010-04-28,2010-05-03,2010-04-22,2010-04-27,2010-05-01,2010-04-26,2010-04-30,2010-05-04,0.36972,0.38586,0.4171,0.3609,0.46374
bartlettir,DB,0001,rising,gcc_50,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-13,2011-05-08,2011-05-11,2011-05-15,0.36628,0.37906,0.40899,0.3593,0.45732
bartlettir,DB,0001,rising,gcc_50,2012-04-17,2012-05-03,2012-05-10,2012-04-13,2012-05-02,2012-05-08,2012-04-30,2012-05-06,2012-05-11,0.36675,0.37893,0.41053,0.3566,0.45838
bartlettir,DB,0001,rising,gcc_50,2013-04-30,2013-05-04,2013-05-09,2013-04-28,2013-05-03,2013-05-07,2013-05-02,2013-05-05,2013-05-10,0.36679,0.38357,0.4136,0.35815,0.46007
bartlettir,DB,0001,rising,gcc_50,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-15,2014-05-11,2014-05-14,2014-05-18,0.37164,0.38472,0.41893,0.36224,0.46728
bartlettir,DB,0001,rising,gcc_50,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.37263,0.38687,0.41823,0.36597,0.46484
bartlettir,DB,0001,rising,gcc_mean,2008-05-04,2008-05-07,2008-05-13,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-14,0.36832,0.38208,0.41295,0.36184,0.46041
