#
# Transition date estimate for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2012
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:24:34
# Spline RMSE gcc_mean: 0.00668
# Spline RMSE gcc_50: 0.00675
# Spline RMSE gcc_75: 0.00486
# Spline RMSE gcc_90: 0.00445
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
boundarywaters,DB,0003,rising,gcc_90,2012-05-12,2012-05-19,2012-05-24,2012-04-30,2012-05-18,2012-05-23,2012-05-15,2012-05-20,2012-05-25,0.35704,0.37702,0.41196,0.34517,0.47376
boundarywaters,DB,0003,rising,gcc_90,2013-05-23,2013-06-03,2013-06-09,2013-05-17,2013-06-02,2013-06-07,2013-06-01,2013-06-05,2013-06-10,0.35207,0.36537,0.40264,0.34089,0.45326
boundarywaters,DB,0003,rising,gcc_75,2012-05-03,2012-05-18,2012-05-24,2012-04-26,2012-05-17,2012-05-23,2012-05-14,2012-05-20,2012-05-25,0.35365,0.37,0.4072,0.34153,0.46707
boundarywaters,DB,0003,rising,gcc_75,2013-05-23,2013-06-03,2013-06-09,2013-05-18,2013-06-02,2013-06-07,2013-06-01,2013-06-05,2013-06-10,0.35024,0.36417,0.40079,0.33974,0.44897
boundarywaters,DB,0003,rising,gcc_50,2012-05-07,2012-05-17,2012-05-24,2012-04-25,2012-05-16,2012-05-22,2012-05-14,2012-05-20,2012-05-25,0.35104,0.36624,0.40303,0.33932,0.45959
boundarywaters,DB,0003,rising,gcc_50,2013-05-23,2013-06-03,2013-06-09,2013-05-14,2013-06-01,2013-06-07,2013-05-30,2013-06-05,2013-06-10,0.34767,0.3638,0.39542,0.33728,0.44606
boundarywaters,DB,0003,rising,gcc_mean,2012-05-09,2012-05-18,2012-05-25,2012-04-26,2012-05-16,2012-05-23,2012-05-14,2012-05-20,2012-05-26,0.35084,0.36765,0.40265,0.33905,0.45783
boundarywaters,DB,0003,rising,gcc_mean,2013-05-23,2013-06-03,2013-06-09,2013-05-03,2013-06-01,2013-06-07,2013-05-31,2013-06-05,2013-06-10,0.34696,0.36228,0.39321,0.33684,0.44371
boundarywaters,DB,0003,falling,gcc_90,2013-09-27,2013-09-24,2013-09-18,2013-09-28,2013-09-25,2013-09-20,2013-09-25,2013-09-22,2013-09-17,0.34247,0.35816,0.39312,0.33495,0.44304
boundarywaters,DB,0003,falling,gcc_90,2012-09-09,2012-09-07,2012-09-01,2012-09-10,2012-09-08,2012-09-03,2012-09-08,2012-09-05,2012-08-31,0.35705,0.37089,0.41159,0.34576,0.4672
boundarywaters,DB,0003,falling,gcc_75,2013-09-25,2013-09-23,2013-09-17,2013-09-26,2013-09-24,2013-09-19,2013-09-24,2013-09-21,2013-09-16,0.34601,0.35786,0.39289,0.33598,0.44012
boundarywaters,DB,0003,falling,gcc_75,2012-09-09,2012-09-07,2012-09-01,2012-09-10,2012-09-08,2012-09-03,2012-09-08,2012-09-05,2012-08-31,0.35508,0.36858,0.40751,0.34437,0.46379
boundarywaters,DB,0003,falling,gcc_50,2013-09-25,2013-09-23,2013-09-17,2013-09-27,2013-09-24,2013-09-19,2013-09-23,2013-09-21,2013-09-15,0.34505,0.35623,0.38654,0.33502,0.43731
boundarywaters,DB,0003,falling,gcc_50,2012-09-10,2012-09-06,2012-08-31,2012-09-11,2012-09-07,2012-09-02,2012-09-08,2012-09-05,2012-08-30,0.34864,0.36908,0.40504,0.34046,0.45673
boundarywaters,DB,0003,falling,gcc_mean,2013-09-26,2013-09-23,2013-09-17,2013-09-27,2013-09-24,2013-09-19,2013-09-23,2013-09-21,2013-09-16,0.34035,0.356,0.38537,0.33488,0.43213
boundarywaters,DB,0003,falling,gcc_mean,2012-09-10,2012-09-07,2012-09-01,2012-09-11,2012-09-08,2012-09-02,2012-09-08,2012-09-05,2012-08-31,0.34873,0.36361,0.39876,0.34034,0.45591
