#
# 3-day summary product time series for dollysods
#
# Site: dollysods
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 39.099529
# Lon: -79.427041
# Elev: 1133
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:39:14
# Update Date: 2017-02-20
# Update Time: 10:39:17
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:34:55
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2003-08-24,2003,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38525,0.39045,0.39284,0.39407,0.3259,0.32675,0.33247,0.33741,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-08-27,2003,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38508,0.38954,0.39279,0.39463,0.3259,0.3262,0.33251,0.33781,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-08-30,2003,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38467,0.38848,0.39252,0.39493,0.32631,0.32621,0.33306,0.33871,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-02,2003,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38406,0.38733,0.39208,0.39495,0.32726,0.32691,0.33422,0.34018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-05,2003,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3833,0.38615,0.39147,0.39469,0.32883,0.32837,0.33604,0.34228,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-08,2003,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38259,0.38499,0.39078,0.39428,0.33102,0.33062,0.33853,0.34499,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-11,2003,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.38131,0.38382,0.3899,0.39333,0.33372,0.33357,0.34152,0.34822,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-14,2003,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37971,0.38252,0.38871,0.39194,0.33703,0.33724,0.34514,0.35202,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-17,2003,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37916,0.38228,0.38792,0.39079,0.34189,0.3426,0.3502,0.3571,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2003-09-20,2003,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37737,0.38034,0.38578,0.38852,0.34666,0.3476,0.35535,0.36215,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
