#
# Transition date estimate for groundhog
#
# Site: groundhog
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2011
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:44:25
# Spline RMSE gcc_mean: 0.00275
# Spline RMSE gcc_50: 0.00308
# Spline RMSE gcc_75: 0.00264
# Spline RMSE gcc_90: 0.00195
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
groundhog,DB,0001,rising,gcc_90,2009-05-12,2009-05-21,2009-05-29,2009-04-13,2009-05-20,2009-05-27,2009-05-17,2009-05-23,2009-05-30,0.34369,0.35253,0.37279,0.33679,0.40759
groundhog,DB,0001,rising,gcc_90,2010-05-10,2010-05-13,2010-05-17,2010-05-08,2010-05-12,2010-05-16,2010-05-12,2010-05-15,2010-05-18,0.34454,0.35234,0.37647,0.3381,0.40704
groundhog,DB,0001,rising,gcc_90,2011-05-12,2011-05-17,2011-05-22,2011-05-01,2011-05-16,2011-05-21,2011-05-15,2011-05-19,2011-05-23,0.3464,0.35523,0.37518,0.3401,0.40947
groundhog,DB,0001,rising,gcc_75,2009-05-08,2009-05-21,2009-05-30,2009-04-15,2009-05-19,2009-05-28,2009-05-15,2009-05-23,2009-05-31,0.34179,0.35167,0.37129,0.33528,0.40269
groundhog,DB,0001,rising,gcc_75,2010-05-08,2010-05-11,2010-05-17,2010-05-06,2010-05-10,2010-05-15,2010-05-10,2010-05-13,2010-05-18,0.34282,0.35051,0.37288,0.33729,0.40262
groundhog,DB,0001,rising,gcc_75,2011-05-10,2011-05-16,2011-05-23,2011-04-26,2011-05-15,2011-05-22,2011-05-13,2011-05-18,2011-05-24,0.34474,0.35359,0.37283,0.338,0.40697
groundhog,DB,0001,rising,gcc_50,2009-04-19,2009-05-21,2009-05-31,2009-04-15,2009-05-20,2009-05-29,2009-05-16,2009-05-24,2009-06-01,0.34063,0.34914,0.36977,0.33398,0.40077
groundhog,DB,0001,rising,gcc_50,2010-05-08,2010-05-12,2010-05-17,2010-04-15,2010-05-11,2010-05-16,2010-05-10,2010-05-13,2010-05-18,0.34116,0.35114,0.36959,0.33537,0.40063
groundhog,DB,0001,rising,gcc_50,2011-05-10,2011-05-17,2011-05-24,2011-04-28,2011-05-16,2011-05-22,2011-05-13,2011-05-19,2011-05-25,0.34371,0.35327,0.37285,0.33693,0.40492
groundhog,DB,0001,rising,gcc_mean,2009-04-18,2009-05-21,2009-05-30,2009-04-13,2009-05-20,2009-05-28,2009-05-16,2009-05-24,2009-05-31,0.33989,0.3484,0.36663,0.33346,0.39898
