#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 17:45:56
# Spline RMSE gcc_mean: 0.00257
# Spline RMSE gcc_50: 0.00249
# Spline RMSE gcc_75: 0.00281
# Spline RMSE gcc_90: 0.00348
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,0001,rising,gcc_90,2008-05-04,2008-05-08,2008-05-14,2008-05-02,2008-05-07,2008-05-12,2008-05-06,2008-05-10,2008-05-16,0.3782,0.39127,0.41759,0.37008,0.46454
harvard,DB,0001,rising,gcc_90,2009-04-27,2009-05-03,2009-05-10,2009-04-24,2009-05-02,2009-05-08,2009-04-30,2009-05-05,2009-05-11,0.37669,0.39053,0.41845,0.3683,0.46259
harvard,DB,0001,rising,gcc_90,2010-04-21,2010-04-26,2010-05-01,2010-04-01,2010-04-25,2010-04-29,2010-04-24,2010-04-28,2010-05-02,0.37779,0.38963,0.4194,0.36913,0.46497
harvard,DB,0001,rising,gcc_90,2011-05-02,2011-05-08,2011-05-13,2011-04-25,2011-05-07,2011-05-11,2011-05-05,2011-05-10,2011-05-14,0.37939,0.39485,0.42326,0.3708,0.46965
harvard,DB,0001,rising,gcc_90,2012-04-20,2012-05-01,2012-05-07,2012-04-14,2012-04-30,2012-05-06,2012-04-28,2012-05-03,2012-05-08,0.38308,0.39741,0.42723,0.37291,0.47959
harvard,DB,0001,rising,gcc_90,2013-05-01,2013-05-04,2013-05-09,2013-04-29,2013-05-03,2013-05-08,2013-05-03,2013-05-06,2013-05-10,0.38237,0.39407,0.42238,0.37284,0.47146
harvard,DB,0001,rising,gcc_90,2014-05-08,2014-05-11,2014-05-16,2014-05-06,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.38357,0.39654,0.42681,0.37336,0.47913
harvard,DB,0001,rising,gcc_90,2015-05-03,2015-05-06,2015-05-11,2015-05-01,2015-05-05,2015-05-10,2015-05-05,2015-05-08,2015-05-12,0.3819,0.39535,0.42176,0.37298,0.46696
harvard,DB,0001,rising,gcc_75,2008-05-04,2008-05-08,2008-05-15,2008-05-03,2008-05-07,2008-05-12,2008-05-06,2008-05-10,2008-05-16,0.37605,0.38861,0.41652,0.36869,0.45825
harvard,DB,0001,rising,gcc_75,2009-04-27,2009-05-03,2009-05-10,2009-04-23,2009-05-02,2009-05-08,2009-04-30,2009-05-05,2009-05-11,0.37536,0.38778,0.41442,0.36642,0.45677
harvard,DB,0001,rising,gcc_75,2010-04-22,2010-04-27,2010-05-02,2010-04-04,2010-04-26,2010-04-30,2010-04-25,2010-04-28,2010-05-03,0.37687,0.38966,0.41886,0.3677,0.46138
harvard,DB,0001,rising,gcc_75,2011-05-01,2011-05-07,2011-05-13,2011-04-25,2011-05-06,2011-05-12,2011-05-04,2011-05-09,2011-05-14,0.37719,0.38916,0.41706,0.36894,0.46214
harvard,DB,0001,rising,gcc_75,2012-04-20,2012-05-02,2012-05-08,2012-04-13,2012-04-30,2012-05-06,2012-04-28,2012-05-04,2012-05-09,0.38075,0.39551,0.42297,0.3711,0.46955
harvard,DB,0001,rising,gcc_75,2013-04-30,2013-05-05,2013-05-10,2013-04-29,2013-05-04,2013-05-08,2013-05-02,2013-05-06,2013-05-11,0.37828,0.39447,0.4207,0.37111,0.46507
harvard,DB,0001,rising,gcc_75,2014-05-08,2014-05-11,2014-05-17,2014-05-06,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.38128,0.39259,0.42822,0.37162,0.4733
harvard,DB,0001,rising,gcc_75,2015-05-02,2015-05-05,2015-05-11,2015-05-01,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.37717,0.38851,0.41883,0.37096,0.45988
harvard,DB,0001,rising,gcc_50,2008-05-04,2008-05-08,2008-05-15,2008-05-03,2008-05-07,2008-05-13,2008-05-07,2008-05-10,2008-05-16,0.37253,0.38439,0.41219,0.36647,0.45231
harvard,DB,0001,rising,gcc_50,2009-04-25,2009-05-03,2009-05-10,2009-04-18,2009-05-02,2009-05-09,2009-04-28,2009-05-05,2009-05-11,0.37204,0.38437,0.40904,0.36306,0.45325
harvard,DB,0001,rising,gcc_50,2010-04-21,2010-04-27,2010-05-02,2010-04-04,2010-04-26,2010-05-01,2010-04-25,2010-04-29,2010-05-03,0.37371,0.38506,0.41192,0.36463,0.45748
harvard,DB,0001,rising,gcc_50,2011-05-01,2011-05-08,2011-05-15,2011-04-27,2011-05-07,2011-05-13,2011-05-04,2011-05-10,2011-05-16,0.37465,0.3876,0.41571,0.36588,0.45967
harvard,DB,0001,rising,gcc_50,2012-04-18,2012-05-03,2012-05-09,2012-04-13,2012-05-02,2012-05-08,2012-04-26,2012-05-05,2012-05-10,0.37796,0.39177,0.41833,0.36817,0.46613
harvard,DB,0001,rising,gcc_50,2013-04-30,2013-05-05,2013-05-11,2013-04-27,2013-05-04,2013-05-09,2013-05-02,2013-05-07,2013-05-12,0.37701,0.38946,0.41833,0.36792,0.46159
harvard,DB,0001,rising,gcc_50,2014-05-08,2014-05-12,2014-05-17,2014-05-06,2014-05-11,2014-05-16,2014-05-10,2014-05-13,2014-05-18,0.37816,0.39288,0.42166,0.36899,0.46872
harvard,DB,0001,rising,gcc_50,2015-05-02,2015-05-05,2015-05-11,2015-04-30,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.37535,0.38578,0.41476,0.36753,0.45502
harvard,DB,0001,rising,gcc_mean,2008-05-04,2008-05-08,2008-05-14,2008-05-03,2008-05-07,2008-05-12,2008-05-06,2008-05-10,2008-05-15,0.37127,0.38403,0.4096,0.36501,0.45199
harvard,DB,0001,rising,gcc_mean,2009-04-24,2009-05-02,2009-05-10,2009-04-15,2009-05-01,2009-05-08,2009-04-28,2009-05-04,2009-05-11,0.37062,0.38165,0.40964,0.36177,0.45146
harvard,DB,0001,rising,gcc_mean,2010-04-20,2010-04-27,2010-05-02,2010-04-04,2010-04-26,2010-04-30,2010-04-24,2010-04-28,2010-05-03,0.3724,0.38589,0.41318,0.3637,0.45657
harvard,DB,0001,rising,gcc_mean,2011-05-01,2011-05-08,2011-05-14,2011-04-28,2011-05-07,2011-05-13,2011-05-04,2011-05-10,2011-05-15,0.37376,0.38816,0.41242,0.3652,0.45839
harvard,DB,0001,rising,gcc_mean,2012-04-17,2012-05-02,2012-05-09,2012-04-12,2012-05-01,2012-05-07,2012-04-24,2012-05-04,2012-05-10,0.37695,0.38976,0.42004,0.36716,0.46581
harvard,DB,0001,rising,gcc_mean,2013-04-30,2013-05-05,2013-05-10,2013-04-27,2013-05-04,2013-05-09,2013-05-02,2013-05-06,2013-05-11,0.37613,0.38996,0.41543,0.36706,0.46049
harvard,DB,0001,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-17,2014-05-06,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-18,0.37699,0.38822,0.42289,0.36789,0.46739
harvard,DB,0001,rising,gcc_mean,2015-05-02,2015-05-05,2015-05-11,2015-04-30,2015-05-04,2015-05-09,2015-05-04,2015-05-07,2015-05-12,0.37464,0.38501,0.41428,0.36674,0.45462
harvard,DB,0001,falling,gcc_90,2015-10-27,2015-10-25,2015-10-18,2015-10-28,2015-10-26,2015-10-21,2015-10-25,2015-10-23,2015-10-15,0.38777,0.39757,0.42288,0.38155,0.46334
harvard,DB,0001,falling,gcc_90,2014-10-21,2014-10-18,2014-10-11,2014-10-22,2014-10-19,2014-10-13,2014-10-19,2014-10-16,2014-10-10,0.38297,0.3949,0.42707,0.37488,0.47197
harvard,DB,0001,falling,gcc_90,2013-10-17,2013-10-14,2013-10-04,2013-10-19,2013-10-15,2013-10-08,2013-10-15,2013-10-12,2013-09-22,0.38823,0.40042,0.42319,0.37982,0.46518
harvard,DB,0001,falling,gcc_90,2012-10-17,2012-10-14,2012-10-06,2012-10-18,2012-10-15,2012-10-09,2012-10-15,2012-10-12,2012-10-04,0.38924,0.39979,0.42112,0.38224,0.45846
harvard,DB,0001,falling,gcc_90,2011-10-27,2011-10-23,2011-10-09,2011-10-29,2011-10-24,2011-10-13,2011-10-25,2011-10-20,2011-10-06,0.38912,0.39959,0.42296,0.38152,0.46218
harvard,DB,0001,falling,gcc_90,2010-10-18,2010-10-14,2010-10-08,2010-10-19,2010-10-15,2010-10-10,2010-10-15,2010-10-12,2010-10-06,0.37727,0.38844,0.41132,0.37119,0.45018
harvard,DB,0001,falling,gcc_90,2009-10-24,2009-10-21,2009-10-14,2009-10-25,2009-10-22,2009-10-16,2009-10-22,2009-10-19,2009-10-13,0.36534,0.38272,0.41114,0.3604,0.45737
harvard,DB,0001,falling,gcc_90,2008-10-23,2008-10-20,2008-10-13,2008-10-24,2008-10-21,2008-10-15,2008-10-21,2008-10-17,2008-10-11,0.3739,0.38646,0.41121,0.36985,0.45073
harvard,DB,0001,falling,gcc_75,2015-10-27,2015-10-24,2015-10-18,2015-10-28,2015-10-25,2015-10-21,2015-10-25,2015-10-23,2015-10-17,0.38061,0.39516,0.41804,0.37477,0.4572
harvard,DB,0001,falling,gcc_75,2014-10-21,2014-10-18,2014-10-11,2014-10-22,2014-10-19,2014-10-13,2014-10-19,2014-10-16,2014-10-10,0.38064,0.39228,0.42142,0.37139,0.46437
harvard,DB,0001,falling,gcc_75,2013-10-17,2013-10-14,2013-10-06,2013-10-19,2013-10-15,2013-10-09,2013-10-15,2013-10-13,2013-10-04,0.38392,0.39581,0.41744,0.37595,0.45651
harvard,DB,0001,falling,gcc_75,2012-10-16,2012-10-12,2012-10-02,2012-10-17,2012-10-13,2012-10-05,2012-10-13,2012-10-10,2012-09-30,0.38925,0.40147,0.42047,0.38556,0.45356
harvard,DB,0001,falling,gcc_75,2011-10-28,2011-10-23,2011-10-09,2011-10-29,2011-10-24,2011-10-12,2011-10-25,2011-10-20,2011-10-07,0.38358,0.39491,0.41752,0.37774,0.45563
harvard,DB,0001,falling,gcc_75,2010-10-18,2010-10-13,2010-10-06,2010-10-19,2010-10-15,2010-10-09,2010-10-15,2010-10-11,2010-10-05,0.37464,0.38865,0.41013,0.36972,0.44549
