#
# Transition date estimate for mammothcave
#
# Site: mammothcave
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2002
# Year max: 2003
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:08:10
# Spline RMSE gcc_mean: 0.00381
# Spline RMSE gcc_50: 0.00386
# Spline RMSE gcc_75: 0.00409
# Spline RMSE gcc_90: 0.00456
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
mammothcave,DB,0001,rising,gcc_90,2002-04-11,2002-04-14,2002-04-22,2002-04-09,2002-04-13,2002-04-19,2002-04-13,2002-04-17,2002-04-23,0.34576,0.35323,0.3721,0.34004,0.40215
mammothcave,DB,0001,rising,gcc_90,2003-03-29,2003-04-04,2003-04-13,2003-03-27,2003-04-03,2003-04-10,2003-04-01,2003-04-06,2003-04-14,0.34783,0.35838,0.37767,0.34231,0.40953
mammothcave,DB,0001,rising,gcc_75,2002-04-11,2002-04-15,2002-04-22,2002-04-09,2002-04-13,2002-04-20,2002-04-13,2002-04-17,2002-04-24,0.34504,0.35469,0.37022,0.33958,0.40081
mammothcave,DB,0001,rising,gcc_75,2003-03-30,2003-04-04,2003-04-13,2003-03-27,2003-04-03,2003-04-11,2003-04-01,2003-04-06,2003-04-14,0.34833,0.35739,0.37638,0.34172,0.40854
mammothcave,DB,0001,rising,gcc_50,2002-04-11,2002-04-15,2002-04-23,2002-04-09,2002-04-14,2002-04-21,2002-04-13,2002-04-17,2002-04-24,0.34384,0.35263,0.3693,0.33881,0.39858
mammothcave,DB,0001,rising,gcc_50,2003-03-30,2003-04-04,2003-04-13,2003-03-28,2003-04-03,2003-04-11,2003-04-01,2003-04-06,2003-04-14,0.34703,0.35574,0.37425,0.34073,0.40642
mammothcave,DB,0001,rising,gcc_mean,2002-04-11,2002-04-15,2002-04-24,2002-04-10,2002-04-14,2002-04-21,2002-04-14,2002-04-18,2002-04-25,0.34337,0.35151,0.36975,0.33873,0.3973
mammothcave,DB,0001,rising,gcc_mean,2003-03-30,2003-04-04,2003-04-13,2003-03-28,2003-04-03,2003-04-11,2003-04-01,2003-04-06,2003-04-15,0.34725,0.35587,0.37418,0.34102,0.40726
mammothcave,DB,0001,falling,gcc_90,2002-10-29,2002-10-21,2002-10-06,2002-11-01,2002-10-23,2002-10-10,2002-10-25,2002-10-18,2002-10-03,0.34728,0.35547,0.37076,0.34202,0.39838
mammothcave,DB,0001,falling,gcc_75,2002-10-29,2002-10-20,2002-10-04,2002-10-31,2002-10-23,2002-10-09,2002-10-24,2002-10-17,2002-09-27,0.34628,0.35533,0.36933,0.3417,0.39649
mammothcave,DB,0001,falling,gcc_50,2002-10-27,2002-10-19,2002-09-25,2002-10-30,2002-10-21,2002-10-05,2002-10-23,2002-10-16,2002-09-13,0.34621,0.35383,0.36738,0.34123,0.39346
mammothcave,DB,0001,falling,gcc_mean,2002-10-28,2002-10-19,2002-09-26,2002-10-31,2002-10-21,2002-10-03,2002-10-23,2002-10-15,2002-09-19,0.34554,0.35342,0.36721,0.34098,0.39313
