#
# 3-day summary product time series for mammothcave
#
# Site: mammothcave
# Veg Type: DB
# ROI ID Number: 0003
# Lat: 37.1858333333
# Lon: -86.1019444444
# Elev: 226
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:12:57
# Update Date: 2017-04-18
# Update Time: 05:26:09
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:09:01
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2006-04-23,2006,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39005,0.3893,0.39256,0.39448,0.35087,0.35831,0.35921,0.35946,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-04-26,2006,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40039,0.40037,0.40367,0.40578,0.34509,0.34911,0.35179,0.3533,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-04-29,2006,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40998,0.41053,0.4139,0.41616,0.33978,0.3414,0.34552,0.34805,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-02,2006,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.41871,0.41973,0.42317,0.42557,0.33496,0.33491,0.34015,0.34348,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-05,2006,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.42665,0.42802,0.43154,0.43405,0.33064,0.32976,0.3358,0.33968,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-08,2006,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.43366,0.4353,0.4389,0.4415,0.32675,0.32572,0.33226,0.33647,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-11,2006,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44013,0.44185,0.44559,0.44825,0.32322,0.32365,0.33027,0.33457,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-14,2006,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44564,0.44739,0.45125,0.45396,0.31998,0.32254,0.32897,0.33312,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-17,2006,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44973,0.45169,0.4555,0.45817,0.31717,0.32172,0.32748,0.33107,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-20,2006,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45239,0.45452,0.45831,0.46095,0.31482,0.32061,0.32573,0.3287,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-23,2006,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45179,0.4542,0.45824,0.46097,0.31272,0.31715,0.3222,0.32501,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-26,2006,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.45028,0.45298,0.45726,0.46008,0.31066,0.31356,0.31862,0.32137,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-05-29,2006,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44881,0.45162,0.45596,0.45888,0.30836,0.31016,0.31546,0.31831,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-01,2006,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44708,0.44997,0.45435,0.45735,0.30595,0.30698,0.31257,0.31559,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-04,2006,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44695,0.44962,0.45394,0.45681,0.30378,0.30545,0.31093,0.31409,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-07,2006,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4471,0.44953,0.45379,0.45654,0.30223,0.30442,0.30977,0.31308,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-10,2006,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44745,0.45032,0.45458,0.45745,0.30176,0.30381,0.30912,0.31262,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-13,2006,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44767,0.45103,0.45527,0.45827,0.30213,0.30362,0.30887,0.31251,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-16,2006,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44667,0.45022,0.45463,0.45773,0.30265,0.30365,0.30874,0.31228,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-19,2006,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44544,0.44897,0.45354,0.4567,0.30265,0.30362,0.30863,0.31204,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-22,2006,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44435,0.44736,0.45181,0.45487,0.30241,0.30336,0.30849,0.31178,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-25,2006,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44333,0.44563,0.44988,0.4528,0.30257,0.30287,0.30823,0.31147,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2006-06-28,2006,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.44251,0.44362,0.44754,0.4501,0.30301,0.30107,0.30702,0.31056,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
