#
# Transition date estimate for nationalcapital
#
# Site: nationalcapital
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2003
# Year max: 2009
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:19:53
# Spline RMSE gcc_mean: 0.00666
# Spline RMSE gcc_50: 0.00693
# Spline RMSE gcc_75: 0.00646
# Spline RMSE gcc_90: 0.00662
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
nationalcapital,DB,0001,rising,gcc_90,2004-04-05,2004-04-12,2004-04-18,2004-03-30,2004-04-10,2004-04-17,2004-04-09,2004-04-14,2004-04-19,0.34682,0.36345,0.39273,0.3363,0.44789
nationalcapital,DB,0001,rising,gcc_90,2005-04-06,2005-04-11,2005-04-19,2005-04-03,2005-04-10,2005-04-16,2005-04-09,2005-04-13,2005-04-20,0.35052,0.36392,0.3934,0.34124,0.4398
nationalcapital,DB,0001,rising,gcc_90,2006-04-03,2006-04-08,2006-04-14,2006-04-01,2006-04-07,2006-04-12,2006-04-06,2006-04-10,2006-04-15,0.35651,0.37586,0.40989,0.34596,0.47128
nationalcapital,DB,0001,rising,gcc_90,2007-03-28,2007-04-14,2007-04-23,2007-03-26,2007-04-11,2007-04-21,2007-04-03,2007-04-17,2007-04-24,0.36453,0.38358,0.4164,0.35358,0.47732
nationalcapital,DB,0001,rising,gcc_90,2008-04-04,2008-04-11,2008-04-19,2008-04-01,2008-04-10,2008-04-17,2008-04-08,2008-04-13,2008-04-20,0.36713,0.38367,0.41917,0.35602,0.47684
nationalcapital,DB,0001,rising,gcc_90,2009-04-01,2009-04-16,2009-04-25,2009-03-25,2009-04-14,2009-04-22,2009-04-09,2009-04-19,2009-04-26,0.37241,0.39151,0.43156,0.35922,0.49297
nationalcapital,DB,0001,rising,gcc_75,2004-04-06,2004-04-12,2004-04-19,2004-03-30,2004-04-11,2004-04-17,2004-04-09,2004-04-15,2004-04-20,0.34715,0.36143,0.39593,0.33653,0.4464
nationalcapital,DB,0001,rising,gcc_75,2005-04-05,2005-04-11,2005-04-18,2005-04-02,2005-04-09,2005-04-16,2005-04-09,2005-04-13,2005-04-20,0.34829,0.36327,0.38851,0.34035,0.43552
nationalcapital,DB,0001,rising,gcc_75,2006-04-03,2006-04-08,2006-04-14,2006-04-01,2006-04-07,2006-04-13,2006-04-06,2006-04-10,2006-04-15,0.35576,0.37456,0.40791,0.3455,0.46999
nationalcapital,DB,0001,rising,gcc_75,2007-03-28,2007-04-14,2007-04-23,2007-03-26,2007-04-10,2007-04-21,2007-04-03,2007-04-17,2007-04-24,0.36321,0.38257,0.41483,0.3524,0.47489
nationalcapital,DB,0001,rising,gcc_75,2008-04-04,2008-04-11,2008-04-19,2008-04-01,2008-04-10,2008-04-17,2008-04-08,2008-04-14,2008-04-20,0.36648,0.38236,0.41675,0.35506,0.47699
nationalcapital,DB,0001,rising,gcc_75,2009-04-08,2009-04-16,2009-04-23,2009-04-01,2009-04-14,2009-04-21,2009-04-13,2009-04-19,2009-04-25,0.37465,0.38904,0.41891,0.36432,0.47138
nationalcapital,DB,0001,rising,gcc_50,2004-04-06,2004-04-13,2004-04-19,2004-03-29,2004-04-11,2004-04-17,2004-04-10,2004-04-15,2004-04-20,0.34584,0.36106,0.39145,0.33628,0.44393
nationalcapital,DB,0001,rising,gcc_50,2005-04-04,2005-04-10,2005-04-18,2005-04-01,2005-04-08,2005-04-16,2005-04-08,2005-04-13,2005-04-20,0.34574,0.35888,0.38654,0.33739,0.43417
nationalcapital,DB,0001,rising,gcc_50,2006-04-03,2006-04-08,2006-04-15,2006-04-01,2006-04-07,2006-04-13,2006-04-06,2006-04-10,2006-04-16,0.35453,0.37241,0.4095,0.34446,0.46738
nationalcapital,DB,0001,rising,gcc_50,2007-03-29,2007-04-13,2007-04-23,2007-03-25,2007-04-09,2007-04-21,2007-04-03,2007-04-17,2007-04-24,0.36247,0.37896,0.41221,0.35045,0.47084
nationalcapital,DB,0001,rising,gcc_50,2008-04-03,2008-04-12,2008-04-20,2008-03-30,2008-04-10,2008-04-18,2008-04-07,2008-04-14,2008-04-21,0.36409,0.38369,0.41691,0.35258,0.47727
nationalcapital,DB,0001,rising,gcc_50,2009-03-29,2009-04-12,2009-04-20,2009-03-19,2009-04-08,2009-04-18,2009-04-06,2009-04-16,2009-04-22,0.36346,0.37765,0.40213,0.35453,0.44709
nationalcapital,DB,0001,rising,gcc_mean,2004-04-04,2004-04-12,2004-04-18,2004-03-26,2004-04-10,2004-04-17,2004-04-09,2004-04-14,2004-04-19,0.34443,0.35914,0.38675,0.33421,0.43869
nationalcapital,DB,0001,rising,gcc_mean,2005-04-03,2005-04-10,2005-04-18,2005-03-30,2005-04-08,2005-04-15,2005-04-07,2005-04-12,2005-04-19,0.34438,0.35873,0.38627,0.33509,0.43323
