#
# Transition date estimate for queens
#
# Site: queens
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2013
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:32:42
# Spline RMSE gcc_mean: 0.00467
# Spline RMSE gcc_50: 0.0053
# Spline RMSE gcc_75: 0.00516
# Spline RMSE gcc_90: 0.00483
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
queens,DB,0001,rising,gcc_90,2009-04-27,2009-05-01,2009-05-07,2009-04-25,2009-04-30,2009-05-05,2009-04-30,2009-05-03,2009-05-08,0.34016,0.35173,0.38106,0.33198,0.42745
queens,DB,0001,rising,gcc_90,2010-04-17,2010-04-22,2010-04-29,2010-04-15,2010-04-21,2010-04-27,2010-04-20,2010-04-24,2010-04-30,0.33952,0.35357,0.38078,0.33206,0.42513
queens,DB,0001,rising,gcc_90,2011-04-28,2011-05-03,2011-05-08,2011-04-26,2011-04-26,2011-04-26,2011-05-17,2011-05-17,2011-05-17,0.34119,0.35386,0.37996,0.33298,0.42168
queens,DB,0001,rising,gcc_90,2012-04-22,2012-04-29,2012-05-06,2012-04-09,2012-04-27,2012-05-04,2012-04-26,2012-05-01,2012-05-07,0.34366,0.35714,0.38387,0.33434,0.42762
queens,DB,0001,rising,gcc_90,2013-04-25,2013-04-29,2013-05-05,2013-04-24,2013-04-28,2013-05-03,2013-04-27,2013-04-30,2013-05-06,0.34199,0.35717,0.38327,0.33462,0.42608
queens,DB,0001,rising,gcc_75,2009-04-28,2009-05-02,2009-05-08,2009-04-25,2009-05-01,2009-05-06,2009-04-30,2009-05-04,2009-05-09,0.33951,0.35283,0.38094,0.33068,0.42347
queens,DB,0001,rising,gcc_75,2010-04-18,2010-04-22,2010-04-29,2010-04-16,2010-04-21,2010-04-27,2010-04-21,2010-04-25,2010-04-30,0.33864,0.35075,0.378,0.33141,0.42283
queens,DB,0001,rising,gcc_75,2011-04-28,2011-05-03,2011-05-08,2011-04-26,2011-04-26,2011-04-26,2011-05-17,2011-05-17,2011-05-17,0.34047,0.35351,0.37818,0.3334,0.4183
queens,DB,0001,rising,gcc_75,2012-04-23,2012-04-29,2012-05-06,2012-04-09,2012-04-28,2012-05-04,2012-04-27,2012-05-01,2012-05-07,0.3409,0.35321,0.37972,0.33239,0.42347
queens,DB,0001,rising,gcc_75,2013-04-24,2013-04-28,2013-05-04,2013-04-22,2013-04-27,2013-05-02,2013-04-26,2013-04-30,2013-05-05,0.33972,0.35413,0.37852,0.33251,0.42157
queens,DB,0001,rising,gcc_50,2009-04-28,2009-05-02,2009-05-08,2009-04-20,2009-05-01,2009-05-06,2009-05-01,2009-05-04,2009-05-09,0.3353,0.34839,0.37642,0.32694,0.41804
queens,DB,0001,rising,gcc_50,2010-04-18,2010-04-22,2010-04-29,2010-04-16,2010-04-21,2010-04-27,2010-04-20,2010-04-24,2010-04-30,0.33453,0.34668,0.3741,0.32661,0.41738
queens,DB,0001,rising,gcc_50,2011-04-26,2011-05-02,2011-05-07,2011-04-23,2011-04-26,2011-04-26,2011-05-04,2011-05-17,2011-05-17,0.33234,0.34578,0.37075,0.3236,0.41305
queens,DB,0001,rising,gcc_50,2012-04-24,2012-04-30,2012-05-06,2012-04-05,2012-04-28,2012-05-05,2012-04-27,2012-05-02,2012-05-07,0.33715,0.35084,0.37331,0.32883,0.41761
queens,DB,0001,rising,gcc_50,2013-04-24,2013-04-28,2013-05-04,2013-04-22,2013-04-27,2013-05-02,2013-04-27,2013-04-30,2013-05-05,0.33479,0.34878,0.37287,0.3286,0.41501
queens,DB,0001,rising,gcc_mean,2009-04-28,2009-05-02,2009-05-08,2009-04-26,2009-05-01,2009-05-06,2009-05-01,2009-05-04,2009-05-09,0.33374,0.34707,0.37494,0.32649,0.41651
queens,DB,0001,rising,gcc_mean,2010-04-18,2010-04-22,2010-04-29,2010-04-16,2010-04-21,2010-04-27,2010-04-20,2010-04-24,2010-04-30,0.33299,0.34523,0.37295,0.32578,0.4147
queens,DB,0001,rising,gcc_mean,2011-04-27,2011-05-02,2011-05-07,2011-04-26,2011-04-26,2011-04-26,2011-05-17,2011-05-17,2011-05-17,0.33338,0.34493,0.372,0.32529,0.41136
queens,DB,0001,rising,gcc_mean,2012-04-16,2012-04-29,2012-05-06,2012-04-11,2012-04-28,2012-05-04,2012-04-26,2012-05-01,2012-05-07,0.33646,0.34875,0.37344,0.32772,0.41636
queens,DB,0001,rising,gcc_mean,2013-04-26,2013-04-29,2013-05-05,2013-04-24,2013-04-28,2013-05-03,2013-04-28,2013-05-01,2013-05-06,0.33628,0.34756,0.37315,0.32817,0.41373
