#
# 3-day summary product time series for smokylook
#
# Site: smokylook
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 35.632529
# Lon: -83.943113
# Elev: 801
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:25:22
# Update Date: 2017-04-18
# Update Time: 05:31:51
# Final Processing Date: 2017-04-18
# Final Processing Time: 18:43:58
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2002-04-05,2002,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33368,0.33339,0.33437,0.33496,0.35993,0.36209,0.36976,0.37752,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-08,2002,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33403,0.33396,0.33533,0.3361,0.36373,0.36617,0.37389,0.38115,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-11,2002,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33586,0.33608,0.33787,0.33882,0.3673,0.37003,0.37769,0.38447,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-14,2002,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33909,0.33964,0.34186,0.343,0.37032,0.37332,0.38085,0.38722,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-17,2002,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34378,0.34473,0.34739,0.34873,0.37295,0.37621,0.38352,0.38951,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-20,2002,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34991,0.3513,0.35442,0.35597,0.37511,0.37861,0.38563,0.3913,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-23,2002,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3573,0.35914,0.3627,0.36446,0.37641,0.38006,0.38677,0.39217,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-26,2002,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36646,0.3689,0.37299,0.37496,0.37802,0.38194,0.38814,0.39332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-04-29,2002,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37691,0.37996,0.38455,0.38674,0.3788,0.3829,0.38859,0.3936,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2002-05-02,2002,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39009,0.39367,0.3987,0.40122,0.3769,0.38072,0.3861,0.3912,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
