#
# Transition date estimate for umichbiological2
#
# Site: umichbiological2
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:10:35
# Spline RMSE gcc_mean: 0.00232
# Spline RMSE gcc_50: 0.00207
# Spline RMSE gcc_75: 0.00258
# Spline RMSE gcc_90: 0.00276
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
umichbiological2,DB,0002,rising,gcc_90,2014-05-19,2014-05-22,2014-05-27,2014-05-18,2014-05-21,2014-05-25,2014-05-21,2014-05-24,2014-05-28,0.33543,0.34638,0.37189,0.3295,0.4094
umichbiological2,DB,0002,rising,gcc_90,2015-05-07,2015-05-12,2015-05-21,2015-05-06,2015-05-11,2015-05-19,2015-05-09,2015-05-14,2015-05-22,0.33771,0.34948,0.37038,0.33102,0.407
umichbiological2,DB,0002,rising,gcc_75,2014-05-20,2014-05-23,2014-05-28,2014-05-19,2014-05-22,2014-05-26,2014-05-22,2014-05-24,2014-05-29,0.33547,0.34806,0.37324,0.33056,0.40545
umichbiological2,DB,0002,rising,gcc_75,2015-05-07,2015-05-12,2015-05-21,2015-05-05,2015-05-11,2015-05-19,2015-05-09,2015-05-14,2015-05-22,0.33678,0.34745,0.36808,0.32968,0.40273
umichbiological2,DB,0002,rising,gcc_50,2014-05-21,2014-05-23,2014-05-28,2014-05-20,2014-05-22,2014-05-27,2014-05-22,2014-05-25,2014-05-29,0.33383,0.34212,0.3679,0.32682,0.40193
umichbiological2,DB,0002,rising,gcc_50,2015-05-06,2015-05-12,2015-05-20,2015-05-04,2015-05-11,2015-05-18,2015-05-08,2015-05-14,2015-05-21,0.33429,0.34436,0.36165,0.32812,0.39403
umichbiological2,DB,0002,rising,gcc_mean,2014-05-20,2014-05-23,2014-05-28,2014-05-19,2014-05-22,2014-05-26,2014-05-22,2014-05-24,2014-05-29,0.33246,0.34426,0.36816,0.32812,0.39959
umichbiological2,DB,0002,rising,gcc_mean,2015-05-06,2015-05-12,2015-05-20,2015-05-05,2015-05-11,2015-05-18,2015-05-09,2015-05-14,2015-05-21,0.33315,0.34398,0.36202,0.32781,0.3942
umichbiological2,DB,0002,falling,gcc_90,2015-10-15,2015-10-10,2015-10-02,2015-10-17,2015-10-12,2015-10-04,2015-10-13,2015-10-08,2015-10-01,0.34309,0.35219,0.36963,0.33691,0.40017
umichbiological2,DB,0002,falling,gcc_90,2014-10-11,2014-10-03,2014-09-20,2014-10-13,2014-10-07,2014-09-22,2014-10-09,2014-09-29,2014-09-19,0.34872,0.35783,0.37396,0.34345,0.40249
umichbiological2,DB,0002,falling,gcc_75,2015-10-16,2015-10-11,2015-10-03,2015-10-17,2015-10-12,2015-10-05,2015-10-13,2015-10-09,2015-10-02,0.33982,0.34835,0.36641,0.33533,0.39561
umichbiological2,DB,0002,falling,gcc_75,2014-10-11,2014-10-04,2014-09-20,2014-10-13,2014-10-07,2014-09-23,2014-10-09,2014-09-30,2014-09-19,0.34634,0.3551,0.37127,0.34119,0.39886
umichbiological2,DB,0002,falling,gcc_50,2015-10-15,2015-10-11,2015-10-04,2015-10-17,2015-10-12,2015-10-06,2015-10-13,2015-10-09,2015-10-03,0.3378,0.34531,0.36277,0.33237,0.38964
umichbiological2,DB,0002,falling,gcc_50,2014-10-11,2014-10-03,2014-09-20,2014-10-12,2014-10-06,2014-09-23,2014-10-08,2014-09-29,2014-09-19,0.34401,0.3535,0.36898,0.34068,0.39407
umichbiological2,DB,0002,falling,gcc_mean,2015-10-16,2015-10-11,2015-10-04,2015-10-17,2015-10-12,2015-10-06,2015-10-13,2015-10-09,2015-10-03,0.3369,0.34524,0.3613,0.33261,0.38816
umichbiological2,DB,0002,falling,gcc_mean,2014-10-11,2014-10-05,2014-09-21,2014-10-13,2014-10-07,2014-09-23,2014-10-09,2014-10-01,2014-09-20,0.34379,0.3514,0.36579,0.33892,0.39142
