#
# 3-day summary product time series for upperbuffalo
#
# Site: upperbuffalo
# Veg Type: DB
# ROI ID Number: 0003
# Lat: 35.863732
# Lon: -93.493222
# Elev: 777
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 3
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2017-02-20
# Creation Time: 10:43:59
# Update Date: 2017-02-20
# Update Time: 10:44:00
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:11:29
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-11-21,2008,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3272,0.32615,0.33088,0.33601,0.29768,0.29801,0.30985,0.32188,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-11-24,2008,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32812,0.32675,0.33171,0.33735,0.29757,0.29685,0.30818,0.32116,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-11-27,2008,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32893,0.32736,0.33247,0.33837,0.29757,0.296,0.30687,0.32049,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-11-30,2008,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32965,0.32797,0.33316,0.33906,0.29765,0.29545,0.3059,0.31988,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-12-03,2008,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33023,0.32851,0.3337,0.33949,0.29774,0.29507,0.30514,0.31934,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-12-06,2008,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33066,0.32906,0.33412,0.33951,0.29784,0.29494,0.30465,0.31884,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-12-09,2008,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33093,0.3295,0.33438,0.33933,0.298,0.29506,0.30447,0.3184,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-12-12,2008,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33111,0.32984,0.33463,0.33906,0.29813,0.29532,0.30446,0.31799,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-12-15,2008,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33111,0.32997,0.33466,0.3388,0.29817,0.29558,0.30451,0.31763,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
2008-12-18,2008,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33056,0.32937,0.33368,0.33877,0.29805,0.29598,0.30472,0.3174,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
