#
# Transition date estimate for upperbuffalo
#
# Site: upperbuffalo
# Veg Type: DB
# ROI ID Number: 0005
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2017-04-18
# Final Processing Time: 19:12:16
# Spline RMSE gcc_mean: 0.00329
# Spline RMSE gcc_50: 0.00389
# Spline RMSE gcc_75: 0.0036
# Spline RMSE gcc_90: 0.004
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
upperbuffalo,DB,0005,rising,gcc_90,2014-04-19,2014-04-23,2014-04-29,2014-04-18,2014-04-22,2014-04-27,2014-04-21,2014-04-25,2014-04-30,0.33644,0.34672,0.36973,0.33133,0.40008
upperbuffalo,DB,0005,rising,gcc_90,2015-04-10,2015-04-15,2015-04-23,2015-04-09,2015-04-14,2015-04-21,2015-04-13,2015-04-17,2015-04-24,0.33504,0.34473,0.36784,0.32916,0.40054
upperbuffalo,DB,0005,rising,gcc_75,2014-04-19,2014-04-23,2014-04-28,2014-04-18,2014-04-22,2014-04-26,2014-04-21,2014-04-24,2014-04-29,0.33429,0.34469,0.36227,0.32952,0.39072
upperbuffalo,DB,0005,rising,gcc_75,2015-04-10,2015-04-15,2015-04-22,2015-04-09,2015-04-14,2015-04-21,2015-04-13,2015-04-17,2015-04-23,0.33325,0.34297,0.36188,0.3281,0.39422
upperbuffalo,DB,0005,rising,gcc_50,2014-04-18,2014-04-21,2014-04-27,2014-04-16,2014-04-20,2014-04-25,2014-04-20,2014-04-23,2014-04-28,0.33086,0.3383,0.35357,0.32606,0.37643
upperbuffalo,DB,0005,rising,gcc_50,2015-04-10,2015-04-15,2015-04-21,2015-04-09,2015-04-13,2015-04-19,2015-04-12,2015-04-17,2015-04-22,0.33139,0.34101,0.35575,0.32654,0.38449
upperbuffalo,DB,0005,rising,gcc_mean,2014-04-19,2014-04-22,2014-04-27,2014-04-18,2014-04-21,2014-04-25,2014-04-21,2014-04-24,2014-04-28,0.3308,0.33846,0.35285,0.3262,0.37635
upperbuffalo,DB,0005,rising,gcc_mean,2015-04-10,2015-04-15,2015-04-21,2015-04-09,2015-04-14,2015-04-19,2015-04-13,2015-04-17,2015-04-22,0.33089,0.33999,0.35529,0.32671,0.38264
upperbuffalo,DB,0005,falling,gcc_90,2015-10-27,2015-10-20,2015-09-17,2015-12-22,2015-12-22,2015-10-23,2015-09-17,2015-09-17,2015-09-02,0.33523,0.34482,0.36137,0.32936,0.39305
upperbuffalo,DB,0005,falling,gcc_90,2014-10-28,2014-10-22,2014-10-10,2014-10-30,2014-10-24,2014-10-14,2014-10-25,2014-10-19,2014-09-24,0.33411,0.34166,0.35662,0.32975,0.38267
upperbuffalo,DB,0005,falling,gcc_75,2015-10-26,2015-10-21,2015-09-20,2015-12-22,2015-12-22,2015-12-22,2015-09-17,2015-09-17,2015-09-17,0.33146,0.33908,0.35677,0.32553,0.38505
upperbuffalo,DB,0005,falling,gcc_75,2014-10-25,2014-10-20,2014-10-09,2014-10-27,2014-10-22,2014-10-13,2014-10-22,2014-10-18,2014-09-12,0.33322,0.3405,0.35357,0.32874,0.37779
upperbuffalo,DB,0005,falling,gcc_50,2015-10-26,2015-10-20,2015-09-20,2015-12-22,2015-12-22,2015-12-22,2015-09-17,2015-09-17,2015-09-17,0.3287,0.3365,0.35263,0.32349,0.38019
upperbuffalo,DB,0005,falling,gcc_50,2014-10-26,2014-10-21,2014-10-10,2014-10-27,2014-10-22,2014-10-14,2014-10-22,2014-10-18,2014-10-06,0.32892,0.33504,0.34779,0.3258,0.36874
upperbuffalo,DB,0005,falling,gcc_mean,2015-10-26,2015-10-20,2015-09-20,2015-12-22,2015-12-22,2015-12-22,2015-09-17,2015-09-17,2015-09-17,0.3293,0.33705,0.35041,0.32415,0.37598
upperbuffalo,DB,0005,falling,gcc_mean,2014-10-26,2014-10-21,2014-10-12,2014-10-28,2014-10-23,2014-10-15,2014-10-23,2014-10-19,2014-10-09,0.32952,0.33567,0.34612,0.3263,0.36473
